"recipe_id","flavour_id","ingredient_id","quantity_grams","heat_process"
34,440,86,186424,"20°C for 60 min"
22,328,173,429520,"Freezing for 20 min"
81,362,29,406862,""
61,231,145,281372,""
15,327,111,916985,""
34,324,184,948212,"Steaming"
76,189,15,396102,""
48,370,81,230827,""
3,309,218,669952,""
41,427,177,57297,"20°C for 60 min"
19,365,76,321472,""
90,393,163,351120,""
86,192,193,680801,""
48,347,137,662201,""
44,178,277,348907,""
80,406,222,479752,""
61,443,174,298080,""
98,251,187,352341,""
69,459,244,276184,""
52,339,119,483223,""
34,30,43,242756,"70°C for 10 min"
88,353,235,200470,"Steaming"
95,33,155,20859,"50°C for 10 min"
23,80,127,907440,""
39,158,135,117004,""
99,373,115,39932,""
5,49,126,31151,""
63,306,296,72449,""
46,188,17,869125,""
61,301,11,271677,"50°C for 10 min"
57,184,40,942886,"50°C for 10 min"
72,169,76,372322,""
76,238,134,509796,""
26,200,196,481995,"Freezing for 20 min"
2,65,246,286880,""
100,188,116,884331,"50°C for 10 min"
11,325,232,579422,""
25,351,126,757744,"50°C for 10 min"
25,402,218,876923,""
32,258,74,584564,"20°C for 60 min"
61,39,38,590340,"50°C for 10 min"
57,159,245,504486,""
80,58,266,57739,""
40,410,287,923035,""
21,409,206,675537,""
89,231,53,773186,""
48,464,213,112122,"Freezing for 20 min"
32,347,246,731171,""
40,2,184,269196,""
88,334,33,577126,""
92,258,116,196678,""
52,438,57,85579,""
10,310,195,817810,""
33,209,20,559698,""
61,395,72,66521,"Steaming"
23,90,123,429558,"70°C for 10 min"
74,143,152,127167,""
100,336,44,314342,""
45,121,194,411636,"Freezing for 20 min"
74,45,149,811951,""
17,130,165,133240,""
49,483,27,721420,""
22,246,156,916641,""
52,261,11,162608,""
51,29,154,435196,""
18,357,50,879070,""
67,147,56,709682,""
24,89,10,466952,""
71,70,247,108582,""
59,286,101,604088,"70°C for 10 min"
43,188,17,856936,""
88,334,55,554260,""
68,413,268,943604,""
66,106,31,319426,"70°C for 10 min"
27,23,163,390198,"Steaming"
23,392,49,525238,"Steaming"
63,320,155,38788,"20°C for 60 min"
31,273,239,688568,""
46,63,11,633477,"50°C for 10 min"
21,397,232,485016,"Freezing for 20 min"
76,358,235,136017,""
81,479,137,385681,""
44,212,197,20248,"70°C for 10 min"
54,254,149,555237,""
82,343,166,181992,"20°C for 60 min"
54,335,63,60371,""
40,400,62,459080,"Steaming"
20,414,158,677185,"20°C for 60 min"
62,188,25,959433,"20°C for 60 min"
15,93,116,972168,""
6,23,113,244621,""
9,200,133,499619,""
62,21,181,47287,"50°C for 10 min"
15,119,103,601074,"50°C for 10 min"
96,134,158,611053,""
69,36,124,592125,""
60,337,284,502106,""
53,263,71,996017,""
19,152,274,377960,"Freezing for 20 min"
4,401,94,343330,""
12,92,236,604263,"50°C for 10 min"
47,33,34,840385,"70°C for 10 min"
20,411,242,128357,"70°C for 10 min"
59,194,16,917763,""
62,184,163,441635,"70°C for 10 min"
50,167,236,191956,"20°C for 60 min"
6,180,31,492939,""
32,258,298,338806,"Freezing for 20 min"
49,281,3,572647,"20°C for 60 min"
70,60,215,667755,""
90,25,215,207169,""
87,38,259,881653,"70°C for 10 min"
100,303,264,59265,"20°C for 60 min"
37,397,117,43533,""
96,287,254,89310,""
16,60,271,175781,""
13,402,103,191,"Steaming"
74,401,27,668276,""
11,246,204,606873,""
27,215,186,983810,""
82,208,297,373474,""
56,269,274,284454,""
4,113,182,806198,""
64,271,139,129532,"70°C for 10 min"
17,14,165,404724,""
10,462,76,324768,""
47,34,160,151855,""
13,356,184,956802,"50°C for 10 min"
17,212,86,667610,""
91,393,186,488449,""
84,117,37,625736,""
3,491,240,77484,"50°C for 10 min"
78,473,22,899984,""
56,229,152,264404,""
94,343,133,453613,"Freezing for 20 min"
85,266,237,78094,"Steaming"
26,213,150,241364,""
20,483,33,207161,""
86,237,102,959343,""
48,68,258,800110,""
59,93,108,876999,""
29,196,254,419937,"20°C for 60 min"
100,123,100,960701,"70°C for 10 min"
51,112,241,299561,"Steaming"
5,228,2,436115,""
17,270,234,577850,""
19,36,165,494125,""
80,395,208,702271,""
55,44,165,865143,""
97,342,69,923401,""
14,262,286,861847,""
38,331,261,915466,""
71,345,239,557236,""
13,242,59,71712,""
68,413,250,66513,"70°C for 10 min"
35,356,68,967758,"20°C for 60 min"
85,67,270,782562,""
98,265,198,15381,""
14,137,124,334053,"Freezing for 20 min"
42,102,107,789818,"Steaming"
80,385,246,920105,""
90,264,183,678116,""
38,269,4,57060,""
94,18,18,570431,"70°C for 10 min"
90,2,244,610367,"Freezing for 20 min"
37,59,280,863861,"50°C for 10 min"
17,409,177,785522,"Steaming"
20,54,157,147064,""
20,7,237,189438,"70°C for 10 min"
63,330,121,254425,""
67,24,120,620491,""
64,21,291,365356,""
49,215,135,592453,"Freezing for 20 min"
24,407,43,826149,""
59,133,275,69580,""
79,245,215,400040,"70°C for 10 min"
78,31,273,317261,""
31,390,38,430229,""
26,439,44,118908,""
99,48,281,525818,"20°C for 60 min"
61,39,148,719086,"50°C for 10 min"
25,266,205,851929,""
37,103,275,457550,""
58,100,137,831314,""
57,75,96,690781,""
59,140,42,340332,""
90,53,10,991323,""
25,303,10,520952,"Steaming"
2,387,9,681653,""
40,105,246,194183,""
99,348,138,87891,"Steaming"
27,198,25,540087,"Steaming"
75,123,21,432966,""
2,271,122,810303,""
62,94,214,755539,""
73,119,1,238295,""
72,136,293,701385,"50°C for 10 min"
89,328,43,79025,"Freezing for 20 min"
44,116,85,576164,""
14,494,22,873074,"Steaming"
96,453,296,76813,""
60,488,71,979568,"50°C for 10 min"
58,359,273,145477,""
20,245,79,961060,"Steaming"
33,55,123,839088,""
93,468,71,17998,""
42,316,52,595058,""
76,463,23,946123,""
73,325,256,87097,"50°C for 10 min"
70,365,62,40108,""
44,277,179,738007,"20°C for 60 min"
26,51,61,696915,"50°C for 10 min"
94,298,219,623138,""
8,186,158,260147,""
49,68,259,714081,""
85,97,47,947315,"70°C for 10 min"
45,403,106,303673,""
73,80,293,293610,""
44,369,59,977592,""
85,257,159,839478,"70°C for 10 min"
98,344,45,936287,""
21,155,115,722527,""
25,221,257,619232,""
26,129,55,200748,""
88,460,264,622650,""
88,212,191,18082,"Steaming"
39,487,162,491013,"70°C for 10 min"
84,97,136,995956,""
49,332,136,987946,""
23,493,194,896912,""
58,374,45,408585,""
67,228,141,838760,"20°C for 60 min"
71,55,190,765976,""
62,408,7,822876,"50°C for 10 min"
30,303,200,205109,""
35,365,62,905499,""
28,76,77,377327,""
95,360,75,713409,"20°C for 60 min"
37,196,104,436737,"50°C for 10 min"
27,467,246,432632,""
61,410,141,892426,"Freezing for 20 min"
94,311,73,220123,""
78,30,93,166344,""
52,76,262,664703,"50°C for 10 min"
63,276,273,934235,""
88,357,122,591011,""
22,336,72,228203,""
78,490,195,269318,"Steaming"
95,95,103,886612,"20°C for 60 min"
78,70,221,144073,""
92,41,158,938309,"20°C for 60 min"
26,356,142,479843,"Freezing for 20 min"
38,198,90,46066,""
10,64,158,746643,"50°C for 10 min"
86,489,186,460068,""
52,281,52,42297,""
61,363,198,22293,"Steaming"
13,244,27,650364,""
48,432,85,356140,"50°C for 10 min"
61,47,132,304749,""
93,55,248,720657,"20°C for 60 min"
45,265,141,819092,"70°C for 10 min"
4,70,285,44769,"20°C for 60 min"
89,204,42,150867,"20°C for 60 min"
79,72,198,481567,""
62,35,168,452332,""
99,218,147,168198,""
44,150,24,273937,""
92,117,161,296478,""
63,348,61,716606,""
62,150,139,521667,""
51,247,282,105927,""
99,353,125,670204,""
27,467,6,556584,""
98,344,281,470551,""
18,438,9,516142,""
77,447,92,727104,""
21,233,100,166794,""
75,208,292,622498,"50°C for 10 min"
94,36,185,544708,"Steaming"
82,281,42,332077,""
96,353,132,623642,""
33,22,137,324707,"20°C for 60 min"
59,494,130,326782,"20°C for 60 min"
52,484,178,301849,""
83,478,57,228634,"Steaming"
78,292,6,311998,"Steaming"
18,328,123,274490,""
79,188,29,365622,"Freezing for 20 min"
81,321,206,396255,""
27,468,34,184723,""
5,310,139,997604,"Steaming"
88,78,220,4791,""
70,127,165,599854,""
4,201,146,720139,"50°C for 10 min"
73,256,56,321899,""
89,415,292,110779,""
49,451,247,191559,"Steaming"
19,298,81,954300,"70°C for 10 min"
35,116,146,537903,"20°C for 60 min"
83,478,46,924004,"Freezing for 20 min"
26,156,173,539444,""
13,375,196,920105,""
51,1,83,526718,""
96,360,16,591839,""
58,237,172,409744,"Steaming"
38,392,35,367554,""
32,231,145,642242,""
7,469,264,809998,"Freezing for 20 min"
41,473,112,326996,""
55,274,84,298134,""
17,389,226,102783,"Steaming"
6,155,266,923859,""
52,79,53,897118,""
13,87,106,620491,""
6,31,275,169952,""
9,282,175,131775,""
10,337,78,767815,""
63,106,241,949219,""
97,398,86,842247,"70°C for 10 min"
23,76,67,751549,""
27,7,202,521378,""
72,457,292,679871,"70°C for 10 min"
90,101,47,265133,""
25,456,45,48637,""
75,238,56,109142,"20°C for 60 min"
59,394,111,44556,""
52,173,201,820404,""
24,298,230,112976,""
74,375,116,595970,"Steaming"
95,500,215,544983,""
6,420,32,679550,""
22,428,161,771530,"Freezing for 20 min"
48,8,168,684464,""
55,161,226,536499,"Freezing for 20 min"
42,462,160,513855,""
66,476,137,547821,""
85,496,81,620857,""
92,182,24,18623,"20°C for 60 min"
65,166,114,603462,""
42,280,248,773026,""
17,250,71,567871,""
52,463,13,426260,""
100,263,220,320541,""
43,73,220,663635,""
36,292,250,526642,""
10,198,36,776402,""
55,161,273,348755,"20°C for 60 min"
92,387,153,703094,"50°C for 10 min"
83,237,259,273926,""
75,307,278,514404,""
39,237,175,925156,"Steaming"
2,169,159,838425,""
93,2,298,456573,"Freezing for 20 min"
72,192,120,955093,"70°C for 10 min"
76,278,235,620941,"Freezing for 20 min"
63,54,227,366806,"Steaming"
95,216,149,529282,""
29,237,50,181561,"20°C for 60 min"
33,489,237,324249,""
66,492,258,281769,""
20,375,182,396652,""
82,153,248,952362,""
92,387,222,565414,"70°C for 10 min"
