"transaction_id","customer_id","flavour_id","quantity_liters","transaction_date","country","town","postal_code","amount_dollar"
33622,28,187,88000,"2024-10-01","JAPAN","Tokyo","D8C779",781000
33623,59,267,73000,"2024-02-21","INDIA","Bangalore","9YUH15",81000
33624,59,445,77000,"2024-01-27","GERMANY","Düsseldorf","L1RGXM",1233000
33625,71,314,19000,"2024-06-29","CHINA","Chengdu","D9U3NH",1138000
33626,56,263,15000,"2024-09-07","SPAIN","Madrid","ANPM39",1480000
33627,72,289,16000,"2024-03-16","ISRAEL","Ramat Gan","4KKT4N",254000
33628,30,481,89000,"2023-09-06","FRANCE","Marseille","E5D05J",1512000
33629,41,69,21000,"2024-11-10","GERMANY","Berlin","NKF4KD",954000
33630,20,102,43000,"2023-06-27","ISRAEL","Ramat Gan","RIN01D",1521000
33631,62,177,50000,"2023-06-28","CHINA","Guangzhou","5LST1P",936000
33632,34,111,4000,"2024-04-05","CANADA","Calgary","LY13YQ",803000
33633,54,417,86000,"2024-12-20","INDIA","Delhi","HPOV28",1613000
33634,41,445,48000,"2024-08-15","INDIA","Mumbai","TYCKYV",418000
33635,73,365,68000,"2023-09-20","SPAIN","Valencia","KOTUNB",85000
33636,71,363,99000,"2023-03-29","GERMANY","Düsseldorf","R0OFXE",1919000
33637,25,177,77000,"2024-08-28","INDIA","Kolkata","MBD4H5",909000
33638,71,214,82000,"2025-01-12","SPAIN","Seville","A5P64G",1132000
33639,16,287,33000,"2023-11-05","BRAZIL","Belém","0KJOXB",1235000
33640,54,435,72000,"2023-05-26","CHINA","Beijing","9BSQ46",1700000
33641,75,308,62000,"2023-05-25","GERMANY","Hamburg","BQYOM1",1413000
33642,41,427,40000,"2024-05-26","BRAZIL","Fortaleza","M8NCI0",1644000
33643,63,54,28000,"2024-06-09","GERMANY","Cologne","KL4ICQ",1516000
33644,5,42,90000,"2023-10-14","CANADA","Edmonton","UK27EG",1106000
33645,13,250,24000,"2024-10-06","ISRAEL","Haifa","QYCFPA",813000
33646,23,150,75000,"2023-11-10","ISRAEL","Tel Aviv","9YGPCO",376000
33647,19,282,46000,"2024-07-31","INDIA","Mumbai","7BFU45",3000
33648,42,143,59000,"2023-09-07","BRAZIL","Rio de Janeiro","5LRYUL",822000
33649,42,414,6000,"2023-09-13","FRANCE","Nice","SCMAYK",355000
33650,17,127,87000,"2024-12-01","CHINA","Nanjing","ZAUZ3Z",82000
33651,71,308,36000,"2024-03-08","CHINA","Shanghai","U37UUM",980000
33652,75,36,92000,"2024-05-01","BRAZIL","Belém","Z1XEBA",1204000
33653,32,355,8000,"2024-01-18","GERMANY","Hamburg","8P07ZC",546000
33654,62,230,23000,"2023-05-22","INDIA","Mumbai","ZAJNDV",1986000
33655,68,304,78000,"2024-06-10","GERMANY","Hamburg","SN55ZD",1767000
33656,33,176,34000,"2024-05-29","JAPAN","Osaka","SS3YFL",1676000
33657,67,116,5000,"2023-02-21","JAPAN","Kyoto","6CI7IS",1037000
33658,26,195,8000,"2023-07-12","ISRAEL","Petah Tikva","RE3NQQ",94000
33659,34,70,80000,"2023-07-13","GERMANY","Cologne","3K2DDY",1292000
33660,25,209,10000,"2023-12-10","SPAIN","Granada","V2DQMY",1049000
33661,50,345,38000,"2023-07-27","CHINA","Beijing","UF8VPR",51000
33662,7,384,66000,"2024-08-10","JAPAN","Kyoto","7HUXRN",1460000
33663,39,246,15000,"2024-05-27","CHINA","Shanghai","59429K",654000
33664,70,407,84000,"2023-04-25","FRANCE","Nice","RUH9ZH",140000
33665,12,212,4000,"2024-10-01","SPAIN","Madrid","NBVJKC",1900000
33666,62,200,59000,"2023-07-14","BRAZIL","Belém","48C0B8",1805000
33667,8,245,66000,"2024-10-29","GERMANY","Hamburg","XQ0KHD",242000
33668,47,136,6000,"2024-12-04","FRANCE","Lyon","OORTAX",1732000
33669,70,65,73000,"2024-02-08","ISRAEL","Ramat Gan","BM1OI8",1881000
33670,2,39,62000,"2024-06-15","CHINA","Guangzhou","YS9GJ6",747000
33671,55,378,64000,"2023-06-13","INDIA","Hyderabad","46G846",1256000
33672,13,427,37000,"2023-10-29","CANADA","Ottawa","HQ961N",71000
33673,6,10,42000,"2023-12-18","CANADA","Edmonton","YQFT3O",422000
33674,36,391,48000,"2024-01-21","SPAIN","Granada","0EYRKK",1914000
33675,32,150,75000,"2023-03-14","CANADA","Vancouver","IBS39L",183000
33676,48,382,25000,"2023-11-29","SPAIN","Seville","U3Y602",1721000
33677,69,296,20000,"2024-04-12","SPAIN","Granada","DP7F5Z",362000
33678,26,478,19000,"2023-05-24","INDIA","Delhi","AIY16F",273000
