"recipe_id","flavour_id","ingredient_id","quantity_grams","heat_process"
50,311,293,237000,"Freezing for 20 min"
27,188,133,803711,""
9,412,271,864075,""
90,100,124,620712,"20°C for 60 min"
95,360,2,940579,""
30,39,14,744413,""
79,12,271,123779,"Freezing for 20 min"
27,7,212,845322,"Steaming"
43,269,235,417221,""
1,437,91,324280,"Freezing for 20 min"
63,178,246,951736,""
86,346,251,239838,""
13,166,90,958366,""
60,368,45,194668,""
70,219,45,427223,""
32,1,227,545822,""
12,361,254,581970,"70°C for 10 min"
31,149,132,909134,""
70,8,128,224579,"Steaming"
42,280,66,575485,"50°C for 10 min"
11,188,213,362320,"70°C for 10 min"
22,215,228,644821,""
26,213,71,68802,""
34,67,274,242859,""
96,105,59,502144,""
54,407,281,7935,""
45,138,147,722488,""
4,340,1,805687,"50°C for 10 min"
5,269,233,116394,""
9,322,174,603378,""
64,436,275,605865,""
97,392,98,223076,""
34,377,272,76508,""
58,457,298,681305,""
61,206,293,753662,""
85,299,80,887573,""
51,379,124,980537,""
28,44,163,641602,"70°C for 10 min"
77,205,228,535553,""
81,268,230,842697,""
98,306,201,11185,""
1,239,88,376060,""
66,87,269,367828,"50°C for 10 min"
54,451,36,708359,""
16,369,175,729172,""
6,375,107,470558,""
20,483,44,354122,"Freezing for 20 min"
5,9,285,379486,"20°C for 60 min"
37,496,144,576874,""
52,190,76,485916,""
42,439,244,47623,""
3,407,1,176988,""
99,390,254,780914,""
38,256,234,309174,"Freezing for 20 min"
27,311,25,631477,"20°C for 60 min"
95,24,224,750671,""
66,201,125,361511,"20°C for 60 min"
71,329,6,342028,""
66,481,40,922554,""
72,221,30,962704,""
91,267,147,796661,""
57,380,146,565521,""
25,23,9,370413,""
27,371,107,66521,""
40,425,166,294312,""
81,196,190,184769,"50°C for 10 min"
82,149,225,9918,""
48,97,285,476074,""
26,449,115,366982,"70°C for 10 min"
65,226,92,840080,"20°C for 60 min"
9,59,209,945389,""
35,286,249,915878,"Freezing for 20 min"
90,485,65,136055,"50°C for 10 min"
49,253,57,663895,"Steaming"
24,225,294,404755,""
30,488,114,868805,"20°C for 60 min"
40,331,192,609344,""
80,450,296,341919,"50°C for 10 min"
100,218,222,670197,""
21,353,190,820251,""
88,6,282,409485,""
27,331,292,590668,""
87,301,257,954224,"Steaming"
5,367,95,32997,"Freezing for 20 min"
15,304,106,626923,""
32,283,292,538055,""
87,58,232,958511,"20°C for 60 min"
63,324,241,368210,""
86,199,179,707962,""
47,464,55,591381,""
44,257,147,947845,""
41,55,277,114868,"70°C for 10 min"
74,135,161,652405,""
52,21,154,708420,""
46,285,236,921310,"20°C for 60 min"
10,102,79,991905,""
68,280,246,892456,""
70,148,137,668762,""
99,144,193,683029,""
95,121,46,595318,""
48,173,186,942123,"70°C for 10 min"
64,380,33,937302,""
64,196,290,622803,""
20,483,79,771843,""
25,262,13,729355,""
57,188,107,605362,"50°C for 10 min"
18,261,272,606049,""
22,20,294,923706,""
92,113,204,201401,""
47,213,143,981354,""
18,328,158,395325,""
22,438,207,913040,"50°C for 10 min"
89,487,229,562363,"Steaming"
47,275,21,200035,"70°C for 10 min"
36,500,23,250450,""
100,218,196,427429,"20°C for 60 min"
54,175,225,537918,""
13,351,48,545433,""
5,49,264,315979,""
24,153,107,12497,""
75,177,28,750378,""
58,163,137,294922,"50°C for 10 min"
29,252,59,684746,"20°C for 60 min"
73,36,108,808388,"Freezing for 20 min"
90,426,132,455917,""
90,268,279,252655,"Freezing for 20 min"
16,220,136,307251,""
25,484,140,731506,""
2,178,21,844151,""
52,407,165,926147,""
14,462,66,382690,"50°C for 10 min"
15,286,109,829269,""
77,128,92,690964,"50°C for 10 min"
10,285,33,476219,"20°C for 60 min"
87,191,219,533554,"70°C for 10 min"
65,396,299,835114,"Freezing for 20 min"
32,382,75,729591,""
29,305,215,790344,""
84,153,223,38406,""
5,196,234,455780,""
45,278,188,417282,""
22,377,82,403198,""
90,277,240,831436,""
7,460,239,702316,""
17,103,267,757935,""
38,198,72,291862,""
64,344,62,695648,""
57,25,122,866356,"Freezing for 20 min"
11,195,30,571712,""
70,478,140,499268,"Freezing for 20 min"
51,363,243,730560,""
81,180,8,543535,""
1,399,155,388443,""
1,260,142,189957,""
46,56,220,987396,"Steaming"
84,68,11,495323,""
78,204,283,373718,"70°C for 10 min"
36,170,252,347778,"Steaming"
1,199,96,955719,"50°C for 10 min"
77,227,273,164978,"50°C for 10 min"
4,289,269,975433,"Steaming"
95,388,147,723114,""
2,356,200,217407,"20°C for 60 min"
22,496,8,155039,""
92,180,187,736923,"70°C for 10 min"
67,48,64,918823,"70°C for 10 min"
52,161,223,889801,"20°C for 60 min"
40,445,222,33188,"50°C for 10 min"
25,468,295,389740,""
100,13,276,815796,""
42,190,295,95947,"20°C for 60 min"
61,54,135,680038,""
5,138,131,415558,""
35,164,81,516830,"Steaming"
29,473,287,748077,""
94,82,240,544281,"50°C for 10 min"
24,484,89,17021,""
74,494,163,342804,""
74,219,114,679291,""
3,231,298,862762,""
61,4,25,153942,""
64,96,71,479454,""
46,116,205,415359,"Steaming"
29,422,5,664283,"Steaming"
10,426,192,410095,"50°C for 10 min"
58,82,239,973358,""
68,120,10,115524,"20°C for 60 min"
30,108,33,257492,"20°C for 60 min"
77,67,178,754776,""
99,260,39,803112,""
34,119,51,310268,""
50,297,88,63660,""
48,382,298,23254,""
42,389,263,416534,""
59,409,93,521889,""
45,249,8,394617,"Steaming"
16,369,83,14450,""
90,317,68,737732,"70°C for 10 min"
68,36,77,177475,""
68,192,245,191345,"20°C for 60 min"
41,401,274,20752,""
75,50,45,588547,""
1,142,75,508957,""
76,463,206,231430,""
65,110,45,686691,""
26,200,153,974655,"Steaming"
5,9,293,927399,""
58,245,48,825500,""
83,327,241,683228,""
24,208,177,288361,""
64,378,77,480370,"Freezing for 20 min"
59,184,197,963776,""
5,178,181,720749,""
85,460,290,305725,"50°C for 10 min"
45,481,197,363892,""
29,173,152,828369,"70°C for 10 min"
17,72,207,815140,"Steaming"
63,351,80,827927,""
10,325,152,992294,"Freezing for 20 min"
16,102,253,209641,"70°C for 10 min"
35,11,221,571121,"70°C for 10 min"
62,184,245,309906,"Steaming"
93,380,138,437714,""
84,72,217,385269,""
32,240,43,17506,""
33,316,294,645569,""
75,25,122,576942,""
57,457,37,343796,""
16,308,43,33222,"50°C for 10 min"
95,252,112,860260,"50°C for 10 min"
66,256,296,695679,""
20,390,155,134171,""
29,473,90,677315,"20°C for 60 min"
8,23,117,482216,"70°C for 10 min"
86,114,178,196732,""
33,198,124,878525,"70°C for 10 min"
43,480,165,471985,"20°C for 60 min"
62,205,128,264221,""
11,190,103,415497,"Steaming"
76,340,180,584152,"20°C for 60 min"
96,482,63,824139,""
91,405,86,666595,""
52,364,154,719482,""
85,222,108,607643,""
11,451,272,999146,""
100,244,172,859497,"Freezing for 20 min"
62,70,21,856001,"Freezing for 20 min"
56,90,123,205612,"20°C for 60 min"
70,161,256,131165,""
56,353,120,375084,""
58,485,264,630127,""
78,203,104,477562,""
64,378,224,490860,""
9,338,166,363174,""
26,274,274,635406,"Freezing for 20 min"
63,172,234,398651,""
48,177,135,719086,""
69,96,261,35095,"Freezing for 20 min"
77,286,266,677979,"20°C for 60 min"
27,200,238,411163,""
91,372,191,260666,""
55,80,281,667633,"20°C for 60 min"
88,180,244,464706,""
100,337,123,262993,""
56,426,230,456589,"Freezing for 20 min"
28,114,285,154175,""
62,166,8,969957,""
12,405,126,136032,""
5,414,265,496155,"20°C for 60 min"
83,13,244,160065,""
62,418,176,681885,""
55,132,31,578197,"70°C for 10 min"
59,493,52,577595,"20°C for 60 min"
45,363,169,782166,"50°C for 10 min"
68,290,138,964722,"50°C for 10 min"
29,9,111,775604,"Steaming"
90,45,28,734926,""
19,443,55,262268,"50°C for 10 min"
84,233,169,325439,""
10,494,259,765778,""
80,134,247,570999,"70°C for 10 min"
59,449,96,849609,""
48,324,102,931152,""
23,76,197,861130,"Freezing for 20 min"
