"recipe_id","flavour_id","ingredient_id","quantity_grams","heat_process"
44,407,26,372561,""
7,85,9,93623,""
96,65,106,517838,""
35,79,63,518890,""
86,347,132,924225,"70°C for 10 min"
76,459,72,34744,""
78,453,19,921518,"Freezing for 20 min"
97,170,237,52002,""
43,280,60,260067,"70°C for 10 min"
96,253,44,598564,""
49,202,170,807892,""
53,177,205,18860,""
80,229,84,442863,""
1,65,27,814289,""
4,457,242,238068,"70°C for 10 min"
54,493,93,756157,""
15,184,215,829987,"70°C for 10 min"
54,231,185,358887,"50°C for 10 min"
26,276,104,710777,""
64,158,235,548126,""
23,206,13,908660,"50°C for 10 min"
60,364,166,229477,"50°C for 10 min"
33,239,292,626282,""
5,173,222,253052,""
90,356,134,339432,""
15,131,179,446655,""
53,338,27,541206,""
19,367,130,250656,"70°C for 10 min"
85,57,267,886292,""
6,413,224,983688,""
85,138,69,309898,""
5,280,258,828613,""
67,148,127,199013,"Steaming"
74,68,26,446360,""
86,455,179,330902,""
54,336,81,423569,"70°C for 10 min"
47,259,122,392136,""
42,475,48,91831,""
28,126,272,587921,"50°C for 10 min"
97,207,29,34761,""
42,193,156,893250,"Freezing for 20 min"
65,37,258,663666,""
92,100,47,508667,""
68,390,145,625458,""
9,202,85,557007,""
25,200,243,438919,""
94,335,5,949574,""
24,441,282,43610,"20°C for 60 min"
80,2,96,500534,""
67,251,89,348633,""
46,420,154,756943,"50°C for 10 min"
84,462,215,323730,""
83,148,170,891190,""
18,268,53,890526,""
51,221,176,523071,""
1,341,205,392166,""
59,310,97,101807,""
94,124,61,822201,""
17,181,271,939972,""
88,294,226,736633,""
82,306,203,824753,""
31,405,81,709946,""
4,158,114,428841,""
48,38,264,540100,""
64,167,171,758011,""
49,255,164,736816,""
61,252,250,186340,"Freezing for 20 min"
65,467,145,271057,""
20,422,67,733810,""
9,214,200,359451,""
30,387,213,186340,"Freezing for 20 min"
82,257,180,214661,""
26,44,231,574402,"50°C for 10 min"
89,283,277,278046,"Steaming"
42,306,35,137299,""
68,12,262,505066,""
73,59,257,462219,"Freezing for 20 min"
57,234,295,20782,"Steaming"
20,467,268,308624,"50°C for 10 min"
74,368,175,121460,""
43,390,178,1907,""
3,54,8,898991,"50°C for 10 min"
71,88,78,476036,""
50,157,50,596558,""
67,338,127,677879,""
46,479,154,495605,""
13,290,43,127983,"Steaming"
11,441,3,858508,"Freezing for 20 min"
19,452,8,811290,""
70,222,283,878784,""
32,259,98,500069,""
69,161,37,839401,"50°C for 10 min"
100,50,254,729416,"Freezing for 20 min"
53,40,174,454269,"Steaming"
24,288,25,139915,""
85,498,197,415894,""
28,347,150,321609,""
95,317,8,847860,""
10,235,48,705559,""
81,305,223,518906,"20°C for 60 min"
84,475,184,52002,"Freezing for 20 min"
28,25,84,26741,"Steaming"
4,342,29,580463,""
63,171,167,150848,""
47,139,130,357834,""
54,393,255,68359,"70°C for 10 min"
70,29,175,33829,"70°C for 10 min"
77,399,61,516735,"Freezing for 20 min"
69,1,59,70179,""
81,500,144,860306,""
45,160,253,69504,""
86,224,186,280685,"70°C for 10 min"
61,255,150,606979,""
79,396,44,16987,"70°C for 10 min"
30,196,232,2258,""
88,16,31,459095,"50°C for 10 min"
1,358,252,557083,""
83,146,89,525337,"20°C for 60 min"
38,52,128,866898,""
52,165,213,264313,""
17,17,52,853333,""
85,389,105,350136,""
86,310,113,966797,""
67,400,134,459122,""
37,72,41,580978,"Freezing for 20 min"
38,466,110,546257,""
100,194,101,295380,""
11,122,276,615936,""
29,37,86,23529,"Freezing for 20 min"
90,172,59,21740,"50°C for 10 min"
82,475,132,537354,""
34,352,186,594070,""
69,479,65,597588,""
71,350,126,398636,""
46,108,264,71564,""
100,434,178,270920,""
30,157,79,19516,"20°C for 60 min"
98,494,123,781090,""
35,388,36,382828,""
84,95,86,182373,""
79,476,106,963654,"20°C for 60 min"
28,237,48,689857,"Steaming"
10,481,102,14038,""
34,15,54,22602,""
15,250,95,927864,""
88,404,44,457737,""
38,147,295,461487,""
97,8,103,847725,"70°C for 10 min"
79,196,153,139709,"20°C for 60 min"
74,477,93,866119,""
76,59,207,841660,""
66,427,221,157089,""
21,387,141,141846,""
13,64,43,397,""
67,427,147,403290,"20°C for 60 min"
34,145,158,723816,""
97,395,211,509140,""
