"transaction_id","customer_id","flavour_id","quantity_liters","transaction_date","country","town","postal_code","amount_dollar"
0,30,313,80000,"2023-10-02","INDIA","Mumbai","RX4N4N",856000
1,8,195,15000,"2023-08-23","INDIA","Mumbai","T0R1V2",1043000
2,75,222,47000,"2024-02-11","SPAIN","Barcelona","VI6CIO",536000
3,18,168,74000,"2023-03-11","INDIA","Bangalore","Z6T672",1379000
4,52,305,30000,"2023-03-06","JAPAN","Kyoto","AF2RGY",1037000
5,44,203,29000,"2024-02-06","INDIA","Mumbai","ISZU3O",1430000
6,56,144,45000,"2024-09-25","BRAZIL","Porto Alegre","LKUAAC",1385000
7,11,328,97000,"2024-11-07","GERMANY","Frankfurt","D8IP98",1358000
8,58,1,67000,"2024-01-26","FRANCE","Bordeaux","YM21T6",1147000
9,42,373,6000,"2023-11-15","SPAIN","Valencia","S5UQMZ",1320000
10,28,340,64000,"2024-03-16","GERMANY","Frankfurt","SA542P",1194000
11,16,476,79000,"2023-05-31","BRAZIL","São Paulo","SRK1E3",864000
12,61,284,67000,"2024-08-26","ISRAEL","Jerusalem","86JPDQ",1381000
13,62,19,54000,"2024-09-04","BRAZIL","São Paulo","RG6Z59",1086000
14,47,206,79000,"2023-04-20","JAPAN","Nagoya","F9PL4P",1057000
15,65,329,70000,"2023-12-11","INDIA","Hyderabad","3QJ3Q4",1454000
16,8,444,28000,"2024-04-12","GERMANY","Frankfurt","UJYCHY",134000
17,24,93,83000,"2024-03-13","FRANCE","Bordeaux","MBCQ3G",360000
18,62,451,82000,"2023-11-12","INDIA","Kolkata","MRZDDJ",894000
19,53,15,62000,"2024-03-06","GERMANY","Hamburg","3E9EYL",788000
20,20,11,82000,"2023-02-24","CHINA","Beijing","FFPNGS",1859000
21,18,164,31000,"2024-11-30","JAPAN","Nagoya","9487J6",544000
22,38,72,41000,"2024-06-11","BRAZIL","Brasília","U7JPVC",236000
23,10,487,27000,"2024-03-16","ISRAEL","Beer Sheva'","I5G0G7",921000
24,73,65,95000,"2023-05-20","GERMANY","Cologne","L3NBPD",1356000
25,29,182,22000,"2024-07-02","ISRAEL","Tel Aviv","QBQDCC",1947000
26,28,426,29000,"2024-07-24","BRAZIL","Rio de Janeiro","UCEGQU",383000
27,18,304,74000,"2023-10-02","FRANCE","Lyon","7YKJG1",974000
28,67,20,54000,"2023-11-08","CHINA","Nanjing","CZIK7G",873000
29,63,440,95000,"2024-02-20","BRAZIL","Fortaleza","XSI86Z",1109000
