"transaction_id","customer_id","flavour_id","quantity_liters","transaction_date","country","town","postal_code","amount_dollar"
16314,49,226,4000,"2023-09-13","FRANCE","Bordeaux","T9KKVD",1980000
16315,20,416,73000,"2023-03-02","GERMANY","Hamburg","82JI8O",1810000
16316,34,342,86000,"2024-05-26","INDIA","Chennai","LJ59VP",485000
16317,40,335,93000,"2024-01-08","FRANCE","Paris","79PYEJ",1732000
16318,51,305,18000,"2023-07-10","CANADA","Montreal","TRH2CZ",1365000
16319,35,389,45000,"2023-04-20","GERMANY","Düsseldorf","R2N4FE",897000
16320,66,446,40000,"2024-06-08","INDIA","Chennai","9OIDPF",602000
16321,33,228,0,"2023-11-10","CHINA","Nanjing","XMBAGQ",414000
16322,52,452,31000,"2024-11-21","BRAZIL","Fortaleza","R8O8XN",1991000
16323,33,387,25000,"2023-09-13","GERMANY","Berlin","4O2VZT",610000
16324,11,361,29000,"2024-06-28","GERMANY","Berlin","QT4JOH",1115000
16325,4,50,96000,"2024-07-29","ISRAEL","Petah Tikva","AF0XT3",1402000
16326,28,262,79000,"2024-06-29","INDIA","Delhi","N605N0",1189000
16327,54,439,62000,"2023-05-16","JAPAN","Fukuoka","1G5U0A",867000
16328,14,4,77000,"2024-06-26","BRAZIL","Brasília","ZQUAAP",1039000
16329,75,12,44000,"2024-12-18","FRANCE","Paris","08PNSC",951000
16330,59,348,83000,"2023-07-30","ISRAEL","Haifa","3EUUL0",1372000
16331,73,105,83000,"2024-08-12","GERMANY","Munich","ZN4TI5",589000
16332,30,378,30000,"2024-07-16","SPAIN","Málaga","54DT7L",1031000
16333,17,41,88000,"2024-01-08","BRAZIL","Brasília","SXEF85",424000
16334,71,269,78000,"2023-03-01","ISRAEL","Petah Tikva","0V7LFQ",722000
16335,52,257,63000,"2024-09-13","SPAIN","Valencia","7OFSZY",1715000
16336,62,27,9000,"2023-04-12","INDIA","Hyderabad","TFV6SC",1087000
16337,8,157,6000,"2023-04-29","CANADA","Vancouver","YI9NTU",1743000
16338,57,393,28000,"2023-04-19","GERMANY","Berlin","O6FR03",807000
16339,73,26,36000,"2023-05-06","CANADA","Ottawa","IOPMT1",1042000
16340,62,125,97000,"2024-10-26","GERMANY","Düsseldorf","VYCDPS",1181000
16341,20,342,15000,"2023-12-18","CANADA","Calgary","DK206O",677000
16342,23,50,30000,"2023-03-09","FRANCE","Bordeaux","R45V5X",85000
16343,14,219,32000,"2024-01-19","BRAZIL","Rio de Janeiro","3Y5H4Z",993000
16344,31,234,5000,"2023-05-07","CHINA","Guangzhou","J14N3U",1791000
16345,2,408,29000,"2024-03-14","ISRAEL","Jerusalem","D5COE1",1566000
16346,66,230,18000,"2023-07-21","CANADA","Edmonton","3N4O35",242000
16347,51,89,6000,"2024-07-31","JAPAN","Osaka","1RQ39Z",1505000
16348,74,169,70000,"2023-04-28","ISRAEL","Tel Aviv","98KAQM",1071000
16349,18,106,38000,"2024-06-26","CANADA","Calgary","GCK7GM",1720000
16350,46,132,9000,"2023-07-29","CHINA","Shenzhen","FJKE66",427000
16351,51,39,12000,"2024-10-28","BRAZIL","Brasília","3SCNLX",1420000
16352,65,297,67000,"2023-10-05","BRAZIL","Brasília","K80C1Q",1873000
16353,1,442,46000,"2024-11-25","FRANCE","Paris","LIF6BI",1451000
16354,23,495,19000,"2023-07-21","CANADA","Toronto","XKHP80",1274000
16355,14,92,85000,"2024-08-03","JAPAN","Tokyo","JTSRM7",488000
16356,59,424,91000,"2023-07-30","JAPAN","Fukuoka","28NQ0N",1000
16357,31,181,51000,"2023-09-29","GERMANY","Cologne","5LLUHE",569000
16358,49,3,40000,"2024-01-10","GERMANY","Frankfurt","LZFXH7",1920000
16359,63,379,15000,"2023-11-30","CHINA","Chengdu","91XD89",1156000
16360,30,26,97000,"2024-12-05","GERMANY","Cologne","OMF04M",1481000
16361,56,474,28000,"2023-05-11","FRANCE","Marseille","JH79AR",446000
16362,29,21,24000,"2025-01-10","SPAIN","Valencia","9H7FC9",1642000
16363,58,406,93000,"2023-03-17","ISRAEL","Petah Tikva","NXMTK9",1049000
16364,6,40,76000,"2023-03-17","BRAZIL","Belém","3YBI13",680000
16365,31,87,39000,"2024-08-16","FRANCE","Nice","CIJAQ7",544000
16366,18,218,2000,"2024-06-05","BRAZIL","Fortaleza","5QOUG5",142000
16367,56,417,8000,"2024-03-22","CHINA","Chengdu","77F56B",1593000
16368,53,299,32000,"2024-09-10","CANADA","Calgary","U2646D",778000
16369,15,388,77000,"2023-08-05","ISRAEL","Ramat Gan","I6RVKJ",1614000
16370,51,64,3000,"2024-07-23","JAPAN","Osaka","KUS6KY",1773000
16371,67,338,12000,"2024-09-07","FRANCE","Nice","10YGRM",513000
16372,12,51,9000,"2024-11-04","ISRAEL","Beer Sheva'","8NFK78",1669000
16373,50,8,93000,"2024-07-24","BRAZIL","São Paulo","5HDYR7",1444000
16374,55,189,59000,"2023-04-19","CANADA","Calgary","0S2EET",529000
16375,43,461,11000,"2024-05-28","CANADA","Edmonton","QZ2IBZ",569000
16376,50,305,61000,"2024-07-27","CANADA","Ottawa","JYOZNJ",1721000
16377,7,94,38000,"2023-03-25","GERMANY","Munich","60U4TK",1443000
16378,63,483,97000,"2023-03-31","JAPAN","Osaka","X3LE68",1647000
16379,2,258,40000,"2024-12-14","GERMANY","Munich","96VTBR",1000
16380,37,446,13000,"2023-03-10","JAPAN","Fukuoka","TK8YG2",302000
16381,61,258,9000,"2023-10-29","CHINA","Beijing","X50LDZ",1852000
16382,54,63,10000,"2024-07-09","SPAIN","Granada","YAB15R",1157000
16383,30,233,59000,"2024-09-11","SPAIN","Madrid","69QLYA",1685000
16384,74,321,2000,"2023-11-24","FRANCE","Strasbourg","IDATJL",968000
16385,21,69,27000,"2023-05-14","GERMANY","Düsseldorf","3TF1Q5",1909000
16386,61,347,61000,"2024-12-20","CANADA","Montreal","TVRC9X",1755000
16387,3,231,58000,"2023-11-09","GERMANY","Cologne","HUUL0A",1688000
16388,57,486,96000,"2024-04-10","INDIA","Chennai","OHOE3F",1396000
16389,38,174,49000,"2023-05-02","BRAZIL","Belém","QUVF3O",1632000
16390,30,8,47000,"2023-05-16","FRANCE","Paris","HFC8E9",901000
16391,13,427,37000,"2023-05-16","FRANCE","Marseille","KHTGYO",939000
16392,7,130,25000,"2023-07-24","CANADA","Edmonton","P03GCP",1979000
16393,9,124,10000,"2023-07-01","ISRAEL","Jerusalem","GDA7OV",90000
16394,9,117,70000,"2024-12-23","FRANCE","Strasbourg","FPHLUC",1070000
16395,12,34,7000,"2024-08-29","ISRAEL","Ramat Gan","HL21B8",454000
16396,42,204,73000,"2023-07-16","FRANCE","Paris","75YVC8",765000
16397,54,481,46000,"2024-06-03","ISRAEL","Haifa","RCXASA",1719000
16398,32,355,76000,"2024-01-18","CHINA","Nanjing","EU2SSR",1405000
16399,3,360,34000,"2023-05-28","JAPAN","Tokyo","QL4128",1804000
16400,52,4,90000,"2023-10-20","BRAZIL","São Paulo","I4B8KH",1126000
16401,71,316,39000,"2024-03-13","SPAIN","Barcelona","GEHNZT",410000
16402,40,111,48000,"2023-12-23","ISRAEL","Jerusalem","FCEBDL",1618000
16403,7,310,54000,"2024-04-26","BRAZIL","Brasília","SS7VLY",986000
16404,5,140,24000,"2024-08-06","FRANCE","Bordeaux","7XJVTB",75000
16405,32,151,43000,"2024-01-15","ISRAEL","Tel Aviv","4L28CI",42000
16406,19,280,67000,"2024-05-07","SPAIN","Málaga","C0KCU9",1975000
16407,63,269,87000,"2023-06-01","JAPAN","Kyoto","TI1KPG",1063000
16408,2,370,53000,"2023-02-22","GERMANY","Berlin","JUZ683",1451000
16409,68,217,94000,"2023-06-09","FRANCE","Lyon","NMPM0C",317000
16410,16,263,99000,"2023-08-21","CANADA","Edmonton","84A21O",1106000
16411,31,338,58000,"2023-12-08","ISRAEL","Beer Sheva'","9HH5F1",100000
16412,17,285,88000,"2024-08-19","GERMANY","Hamburg","RIPCF2",1521000
16413,58,7,55000,"2023-07-06","GERMANY","Munich","IG01SE",1311000
16414,66,278,69000,"2024-04-20","CANADA","Edmonton","VYK0QK",1297000
16415,5,129,72000,"2023-11-17","CANADA","Toronto","GXRUFU",1419000
16416,60,112,68000,"2023-07-30","BRAZIL","Porto Alegre","JO5RTF",272000
16417,20,354,38000,"2024-07-25","SPAIN","Seville","KTGXTP",1258000
16418,64,70,57000,"2023-06-26","FRANCE","Strasbourg","ZA5XFK",668000
16419,31,458,7000,"2024-11-03","SPAIN","Valencia","O0IVAY",1746000
16420,11,189,73000,"2023-09-16","JAPAN","Kyoto","54UVQZ",1780000
16421,59,499,94000,"2024-08-15","SPAIN","Seville","DT4EN9",1102000
16422,21,382,23000,"2024-04-15","JAPAN","Osaka","OH1YKM",309000
16423,4,361,67000,"2024-12-30","CHINA","Shenzhen","O224MU",1016000
16424,2,384,8000,"2023-11-05","FRANCE","Nice","ZZACBJ",422000
16425,74,32,87000,"2023-04-01","BRAZIL","São Paulo","JU8OIC",1352000
