"recipe_id","flavour_id","ingredient_id","quantity_grams","heat_process"
86,138,264,669403,""
38,73,267,574524,""
81,130,289,264465,"Steaming"
3,228,152,914444,""
23,229,287,751007,"Freezing for 20 min"
67,188,178,352173,"20°C for 60 min"
70,120,152,545319,""
43,418,32,589619,""
20,480,270,906830,""
12,97,63,829079,""
93,50,250,227173,""
48,38,80,56389,"Steaming"
48,287,262,869904,"70°C for 10 min"
34,444,207,417465,""
71,387,58,706345,"20°C for 60 min"
28,108,70,557747,"50°C for 10 min"
69,421,221,579636,""
4,332,20,852600,"Steaming"
88,219,234,956192,"20°C for 60 min"
55,183,175,343811,""
10,492,36,879768,"20°C for 60 min"
92,492,54,411724,""
54,231,159,919312,"Freezing for 20 min"
28,161,144,978104,""
69,404,262,600006,"20°C for 60 min"
87,355,46,823544,""
100,18,39,207493,"20°C for 60 min"
90,312,182,511948,""
33,41,54,709633,""
54,29,54,949638,""
36,361,99,378197,""
57,234,165,995621,""
28,388,124,300797,""
28,19,149,768326,""
30,165,54,903980,""
86,99,242,334732,""
47,258,194,884628,""
60,166,263,974365,""
52,233,175,731659,""
12,415,116,837906,""
79,194,91,402451,""
70,384,193,728638,"50°C for 10 min"
44,386,224,398361,""
49,237,50,680500,""
73,470,137,944946,""
19,62,201,812607,"Freezing for 20 min"
1,250,224,636490,""
6,404,285,383698,"70°C for 10 min"
78,313,292,651886,"Steaming"
47,492,199,933136,""
25,26,209,505051,""
73,491,55,562851,"70°C for 10 min"
87,353,247,423340,""
43,309,91,652115,"Steaming"
73,226,8,743995,""
32,94,94,512711,""
73,127,27,669737,""
97,123,181,562683,""
52,466,9,822677,"70°C for 10 min"
13,388,248,617905,"70°C for 10 min"
35,387,129,759094,"Freezing for 20 min"
30,82,37,903847,""
28,202,97,421883,""
67,224,251,843063,""
53,192,87,213135,"Steaming"
43,44,118,507629,"Freezing for 20 min"
53,181,178,569702,""
80,231,44,680347,""
3,90,165,828079,"20°C for 60 min"
90,311,185,969498,"Steaming"
25,95,53,919594,"Freezing for 20 min"
13,448,9,671833,"70°C for 10 min"
38,494,115,963425,"Freezing for 20 min"
84,129,12,679776,""
1,21,221,864197,"Steaming"
25,286,175,270081,"70°C for 10 min"
85,327,186,452240,"Freezing for 20 min"
16,75,75,303619,"70°C for 10 min"
72,76,23,353941,"20°C for 60 min"
27,492,45,992229,""
91,496,132,731750,""
38,419,114,628639,""
55,66,197,917709,""
46,486,207,842590,""
42,407,203,572556,"Freezing for 20 min"
99,280,55,780045,""
42,294,85,991180,""
9,471,46,754379,"20°C for 60 min"
96,79,30,651838,""
35,98,273,730286,""
58,101,256,545746,""
91,489,194,962418,""
100,384,207,115799,""
35,1,151,306793,""
18,285,281,709778,"20°C for 60 min"
13,4,197,439941,""
58,125,32,748695,"Steaming"
90,329,14,522995,"Freezing for 20 min"
21,307,53,801147,""
51,312,15,732756,""
93,406,80,537483,"70°C for 10 min"
27,225,18,437748,"70°C for 10 min"
24,209,268,575653,"50°C for 10 min"
95,409,298,961243,"Steaming"
63,17,174,889984,""
7,76,240,435165,""
60,138,85,321709,"50°C for 10 min"
79,225,20,382586,"50°C for 10 min"
18,492,45,724884,"Freezing for 20 min"
49,328,137,388107,"Steaming"
47,259,42,312420,""
8,99,217,379013,"20°C for 60 min"
19,482,101,876724,""
69,127,226,721207,"Freezing for 20 min"
39,170,21,865555,""
11,85,226,715942,""
38,302,30,800455,"50°C for 10 min"
21,51,161,941696,""
